(40, 1)
(42, 1)
(46, 3)
(47, 3)
(48, 9)
(49, 21)
(50, 26)
(51, 41)
(52, 61)
(53, 91)
(54, 146)
(55, 206)
(56, 294)
(57, 369)
(58, 397)
(59, 476)
(60, 538)
(61, 563)
(62, 511)
(63, 542)
(64, 587)
(65, 601)
(66, 618)
(67, 680)
(68, 722)
(69, 779)
(70, 812)
(71, 875)
(72, 883)
(73, 807)
(74, 875)
(75, 806)
(76, 849)
(77, 829)
(78, 893)
(79, 880)
(80, 857)
(81, 886)
(82, 930)
(83, 870)
(84, 855)
(85, 863)
(86, 930)
(87, 926)
(88, 892)
(89, 883)
(90, 833)
(91, 806)
(92, 860)
(93, 803)
(94, 765)
(95, 844)
(96, 752)
(97, 702)
(98, 664)
(99, 689)
(100, 668)
(101, 696)
(102, 634)
(103, 597)
(104, 640)
(105, 559)
(106, 569)
(107, 544)
(108, 575)
(109, 592)
(110, 553)
(111, 522)
(112, 506)
(113, 528)
(114, 493)
(115, 518)
(116, 473)
(117, 477)
(118, 466)
(119, 466)
(120, 414)
(121, 480)
(122, 487)
(123, 459)
(124, 498)
(125, 426)
(126, 447)
(127, 424)
(128, 430)
(129, 427)
(130, 435)
(131, 481)
(132, 456)
(133, 403)
(134, 495)
(135, 419)
(136, 421)
(137, 452)
(138, 441)
(139, 459)
(140, 489)
(141, 461)
(142, 436)
(143, 405)
(144, 409)
(145, 403)
(146, 400)
(147, 408)
(148, 413)
(149, 350)
(150, 398)
(151, 399)
(152, 388)
(153, 444)
(154, 492)
(155, 458)
(156, 496)
(157, 485)
(158, 578)
(159, 673)
(160, 853)
(161, 975)
(162, 1237)
(163, 1029)
(164, 892)
(165, 734)
(166, 608)
(167, 550)
(168, 549)
(169, 612)
(170, 738)
(171, 831)
(172, 901)
(173, 1080)
(174, 1169)
(175, 1440)
(176, 1631)
(177, 1901)
(178, 2114)
(179, 2415)
(180, 2768)
(181, 3376)
(182, 4577)
(183, 5562)
(184, 6562)
(185, 8358)
(186, 9552)
(187, 10334)
(188, 11230)
(189, 12086)
(190, 12366)
(191, 12403)
(192, 12055)
(193, 11010)
(194, 10630)
(195, 10417)
(196, 10028)
(197, 9950)
(198, 9779)
(199, 9783)
(200, 9564)
(201, 9883)
(202, 10136)
(203, 10546)
(204, 10510)
(205, 10355)
(206, 10603)
(207, 10612)
(208, 10958)
(209, 11098)
(210, 11452)
(211, 11838)
(212, 11971)
(213, 12788)
(214, 13070)
(215, 12790)
(216, 13094)
(217, 13498)
(218, 13624)
(219, 14186)
(220, 14404)
(221, 14684)
(222, 14974)
(223, 15146)
(224, 15813)
(225, 16160)
(226, 16556)
(227, 16341)
(228, 15515)
(229, 13438)
(230, 10750)
(231, 7081)
(232, 5920)
(233, 3898)
(234, 3232)
(235, 1868)
(236, 1528)
(237, 955)
(238, 875)
(239, 534)
(240, 466)
(241, 264)
(242, 233)
(243, 130)
(244, 100)
(245, 63)
(246, 47)
(247, 38)
(248, 20)
(249, 27)
(250, 14)
(251, 10)
(252, 7)
(253, 15)
(254, 13)
